date,latitude [°],longitude [°],VV [dB],VH [dB],angle [degrees],precipitation [mm],elevation [m]
2024-08-02,37.25,-86.23,-8.337021306860612,-16.547561825552574,43.96245956420898,31.085838317871094,231
2024-08-04,38.09,-84.75,-14.172115892993885,-15.118287324831144,30.45229721069336,0.0,258
2024-08-09,37.25,-86.23,-11.148530118175444,-17.467035152816564,33.1704216003418,0.0,231
2024-08-09,38.09,-84.75,-12.32747436697188,-16.204932351633296,41.97101593017578,0.0,258
2024-08-14,37.25,-86.23,-10.71371882320883,-15.97748918488797,43.96092224121094,0.0,231
2024-08-16,38.09,-84.75,-9.23250263988614,-18.27426354070702,30.451631546020508,0.0,258
2024-08-21,37.25,-86.23,-9.20110820441768,-20.920709951025025,33.17003631591797,0.1502940207719802,231
2024-08-21,38.09,-84.75,-10.207819140120847,-19.695855802872583,41.97065734863281,0.6855988502502441,258
2024-08-26,37.25,-86.23,-10.241368803435964,-15.347673993239797,43.96019744873047,9.75409989223408e-07,231
2024-08-28,38.09,-84.75,-9.014999306180606,-14.583480912191275,30.45065689086914,0.0,258
2024-09-02,37.25,-86.23,-11.76558259945714,-12.992299580651675,33.16677474975586,0.0,231
2024-09-02,38.09,-84.75,-15.49925040663835,-16.905479780823732,41.9677619934082,0.0,258
2024-09-07,37.25,-86.23,-11.98684281662717,-17.934430496356132,43.96064376831055,0.0,231
2024-09-09,38.09,-84.75,-14.06266601781639,-21.120550772622035,30.451854705810547,0.0,258
2024-09-14,37.25,-86.23,-9.000935373926918,-16.292651490088087,33.16940689086914,3.130436420440674,231
2024-09-14,38.09,-84.75,-12.365363714005856,-14.67856859667851,41.97006988525391,0.0121380407363176,258
2024-09-19,37.25,-86.23,-10.48303182759084,-18.30009718286143,43.96361541748047,0.0,231
2024-09-21,38.09,-84.75,-10.307150040522746,-16.262184566421062,30.451854705810547,0.0,258
2024-09-26,37.25,-86.23,-10.072569431288976,-15.655979654173874,33.17313003540039,0.0,231
2024-09-26,38.09,-84.75,-12.250282730454003,-16.766282743109127,41.97339630126953,35.95990753173828,258
2024-10-01,37.25,-86.23,-12.272110830934931,-18.278457857151786,43.96440124511719,4.986470699310303,231
2024-10-03,38.09,-84.75,-10.233683544421734,-15.027518054193408,30.45608901977539,0.0,258
2024-10-08,37.25,-86.23,-12.693915611682272,-17.761969534691005,33.17522048950195,0.0,231
2024-10-08,38.09,-84.75,-12.090290438658522,-19.649268170083342,41.97523880004883,0.0,258
2024-10-13,37.25,-86.23,-13.33437884382363,-17.756198853644587,43.966217041015625,0.0,231
2024-10-15,38.09,-84.75,-11.385137864321752,-16.044809100065017,30.45475006103516,0.0,258
2024-10-20,37.25,-86.23,-14.07351432994084,-17.124283647352463,33.174835205078125,0.0,231
2024-10-20,38.09,-84.75,-11.319349274605957,-19.51099435828065,41.9748649597168,0.0,258
2024-10-25,37.25,-86.23,-11.286808647196322,-17.198763644814434,43.96366500854492,3.912176132202149,231
2024-10-27,38.09,-84.75,-10.977047205670482,-25.608826861119766,30.45223617553711,0.0,258
2024-11-01,37.25,-86.23,-9.719742690706864,-14.275948921924824,33.17129135131836,0.0,231
2024-11-01,38.09,-84.75,-15.886138990057164,-18.01283138266745,41.97170639038086,0.0,258
2024-11-06,37.25,-86.23,-8.184270783212714,-13.919805649223564,43.96061325073242,0.0,231
2024-11-08,38.09,-84.75,-11.739849794552482,-33.19953729086269,30.45172882080078,0.0,258
2024-11-13,37.25,-86.23,-8.864613203550974,-13.153479593868262,33.1683349609375,18.40003204345703,231
2024-11-13,38.09,-84.75,-10.168914452486115,-18.4329903760062,41.96906661987305,0.0,258
2024-11-18,37.25,-86.23,-9.26970433778643,-14.144243560308706,43.96156692504883,0.0,231
2024-11-20,38.09,-84.75,-10.073233129205311,-17.767211363803895,30.452083587646484,0.0,258
2024-11-25,37.25,-86.23,-9.874481796726622,-15.535645897189749,33.16683578491211,0.0,231
2024-11-25,38.09,-84.75,-10.509120331679808,-21.046885547404347,41.96770477294922,0.0,258
2024-12-02,38.09,-84.75,-11.684472792303708,-23.751195478030706,30.45244598388672,0.0,258
2024-12-07,37.25,-86.23,-9.161543619600156,-13.891568973697586,33.16401290893555,0.0,231
2024-12-07,38.09,-84.75,-14.141915903638658,-26.019332996118536,41.96516799926758,0.0,258
2024-12-19,37.25,-86.23,-10.871503526063863,-13.117256535467735,33.162994384765625,0.0,231
2024-12-19,38.09,-84.75,-13.491959212074882,-21.079357452703952,41.964263916015625,0.0,258
2024-12-24,37.25,-86.23,-11.457664427865437,-11.97312437056662,43.96378326416016,0.0,231
2024-12-26,38.09,-84.75,-10.314358071663923,-18.42233137988893,30.444107055664062,0.0,258
